age,life_expectancy_m,life_expectancy_f
0,73.85,81.68
1,73.16,80.97
2,72.17,79.98
3,71.19,78.99
4,70.2,78
5,69.2,77.01
6,68.21,76.02
7,67.22,75.02
8,66.22,74.03
9,65.23,73.04
10,64.24,72.04
11,63.24,71.05
12,62.25,70.06
13,61.26,69.06
14,60.27,68.07
15,59.28,67.08
16,58.3,66.1
17,57.32,65.11
18,56.35,64.12
19,55.38,63.14
20,54.42,62.16
21,53.47,61.18
22,52.51,60.19
23,51.56,59.21
24,50.61,58.22
25,49.65,57.23
26,48.7,56.25
27,47.75,55.26
28,46.8,54.28
29,45.85,53.29
30,44.9,52.31
31,43.96,51.33
32,43.02,50.34
33,42.08,49.36
34,41.14,48.38
35,40.2,47.41
36,39.27,46.43
37,38.34,45.46
38,37.42,44.48
39,36.5,43.51
40,35.58,42.55
41,34.68,41.58
42,33.78,40.62
43,32.88,39.66
44,31.99,38.7
45,31.11,37.75
46,30.24,36.8
47,29.37,35.86
48,28.51,34.92
49,27.67,33.99
50,26.83,33.07
51,26,32.14
52,25.18,31.23
53,24.38,30.32
54,23.58,29.41
55,22.8,28.52
56,22.04,27.63
57,21.29,26.76
58,20.56,25.89
59,19.84,25.04
60,19.13,24.2
61,18.44,23.36
62,17.77,22.54
63,17.11,21.72
64,16.46,20.92
65,15.84,20.11
66,15.23,19.32
67,14.63,18.54
68,14.05,17.77
69,13.47,17.01
70,12.9,16.26
71,12.33,15.52
72,11.78,14.79
73,11.23,14.07
74,10.7,13.37
75,10.18,12.67
76,9.67,11.99
77,9.17,11.31
78,8.69,10.66
79,8.23,10.02
80,7.79,9.4
81,7.36,8.81
82,6.96,8.24
83,6.58,7.72
84,6.22,7.23
85,5.88,6.77
86,5.55,6.34
87,5.25,5.94
88,4.95,5.55
89,4.67,5.19
90,4.39,4.84
91,4.14,4.51
92,3.89,4.21
93,3.67,3.92
94,3.45,3.65
95,3.25,3.4
96,3.05,3.17
97,2.87,2.96
98,2.71,2.76
99,2.55,2.57
100,2.4,2.4
